,cev_sigma,cev_beta,cev_vol_forecast,future_rv_20
2015-05-01,3.4395967803009094e+63,-27.938338503919496,0.04039022904042329,0.10035657356900513
2015-05-04,2.842057625296635e+60,-26.558662793876717,0.038459938279266956,0.09994003376989465
2015-05-05,1.0226435441440772e+64,-28.144378167490387,0.05333173419130367,0.09046975629694921
2015-05-06,3.848910717614368e+58,-25.71583783367323,0.061707897963229674,0.094782449862007
2015-05-07,1.1625821917715914e+54,-23.698462495822774,0.05533185708173575,0.09416159370716949
2015-05-08,3.502015050982847e+66,-29.263344317589304,0.03846740604388392,0.08346226238142847
2015-05-11,8.082923629083521e+62,-27.637137171434926,0.045671924300337945,0.08209968155718585
2015-05-12,1.6856615244654833e+59,-25.99164547089395,0.050775666668760544,0.09253536270566175
2015-05-13,1.4404060007121148e+59,-25.95830078663794,0.05127536877788686,0.09314022994801835
2015-05-14,1.6011272664267696e+63,-27.762021277259617,0.03817585062535646,0.08942947993635066
2015-05-15,2.7206397489433667e+59,-26.069831518910995,0.03993162100446689,0.09018416576667015
2015-05-18,9.470987867298851e+64,-28.548096623502435,0.03419007403941975,0.09188579858405416
2015-05-19,3.764405993150745e+55,-24.340379168133985,0.039662253071281926,0.09224099714200637
2015-05-20,2.176017849317295e+69,-30.489605239835367,0.034959731756837344,0.1000462923706559
2015-05-21,7.589222327014254e+72,-32.07047833633399,0.030921406199804793,0.10059376113088253
2015-05-22,4.449990576853437e+68,-30.177454168175476,0.0354026596344491,0.1021279550670343
2015-05-26,6.504862589923418e+67,-29.80439242680184,0.049811246375069014,0.09382864770585163
2015-05-27,5.876906292528087e+59,-26.21084887168491,0.040219775173471396,0.09158304813665698
2015-05-28,1.46726345762847e+58,-25.492948849821495,0.04250931763033074,0.09207053003031072
2015-05-29,2.5513247892008843e+62,-27.388687534974075,0.04844595563258554,0.08943078478105151
2015-06-01,3.681403329956832e+58,-25.667523575794192,0.048337320248593094,0.11618453603650153
2015-06-02,1.1795794658188255e+60,-26.34515457553324,0.04788232817877774,0.11678306386837814
2015-06-03,2.6648003132107066e+64,-28.290586818005515,0.04293786365921344,0.12051745579523115
2015-06-04,3.142511705430277e+61,-26.98806374258641,0.05411269063548937,0.11707314750248488
2015-06-05,2.0868399660605e+67,-29.577978379104817,0.05892853925292894,0.11730722021463548
2015-06-08,4.1366809523280643e+64,-28.37563286900286,0.0694359506458597,0.11762861726075838
2015-06-09,3.388330114916893e+64,-28.33529802612932,0.0703177314759264,0.13230706614170834
2015-06-10,2.3789056071449145e+50,-22.035211184969583,0.04790052071682462,0.12412084300259141
2015-06-11,6.775182987308207e+54,-24.01729263393257,0.044842909822662105,0.13261585355052405
2015-06-12,4.944075796086148e+49,-21.72892831072624,0.05364106225106878,0.13616514651335043
2015-06-15,1.8973858470274634e+46,-20.20294912687206,0.05953681515302344,0.13584209413842047
2015-06-16,1.2500654219360892e+44,-19.232020085027777,0.05261053825479528,0.13466541541160257
2015-06-17,1.7499984848667766e+44,-19.294217599704425,0.05169426090898377,0.13734962454891714
2015-06-18,5.4965497965554e+44,-19.5199159680847,0.04092126760586388,0.13250680001886794
2015-06-19,1.999999622703007e+40,-17.54068203014303,0.045495371390569396,0.13137766679469445
2015-06-22,8.124633809370311e+43,-19.1459082075611,0.04136534418934472,0.1310277868199299
2015-06-23,3.0301583369025514e+51,-22.517373175641794,0.03991653398831446,0.13114141590789108
2015-06-24,1.091975481475481e+51,-22.32644513421424,0.04582029137753339,0.13008174426663371
2015-06-25,2.615392417951792e+40,-17.590449873423555,0.05002163689207566,0.13486657162452342
2015-06-26,2.0082557611015368e+43,-18.875656756003362,0.050348337708812786,0.13620654158722328
2015-06-29,1.1031048414769352e+51,-22.333627065981982,0.07886617238705135,0.120316321605717
2015-06-30,3.757854730195493e+45,-19.89127848515131,0.07385391194076765,0.12209500975808768
2015-07-01,4.0870197458162914e+38,-16.788718372313205,0.06019355193672549,0.11943839697146715
2015-07-02,6.1318760876898144e+47,-20.876054670921903,0.06489635891693225,0.11957209708788064
2015-07-06,6.456909580766264e+37,-16.43383152559855,0.06328937068896476,0.1197985329464822
2015-07-07,4.602857828674317e+33,-14.587706805861702,0.055290632253815156,0.11830959648808019
2015-07-08,1.5888480623495086e+37,-16.164248542343458,0.07498586084998367,0.09949100572496763
