,baseline_forecast,cev_forecast,rf_forecast,xgb_forecast,actual_future_vol
2023-12-18,0.07256727790973241,0.02916853718621007,0.0977643463920419,0.090364665,0.10424285178819478
2023-12-19,0.07126210753670856,0.030443962137118204,0.09901371585559,0.094722316,0.110943028145217
2023-12-20,0.09088904101140065,0.03690110025367744,0.09859015464003375,0.085510045,0.09631120184183244
2023-12-21,0.0946229431686649,0.039274514282570616,0.12307242345806436,0.113526896,0.09195188600822315
2023-12-22,0.0944604700105853,0.042466177025339405,0.10523635629271923,0.09735453,0.09191188687711055
2023-12-26,0.09350713719137932,0.04045547360562543,0.10931697103709839,0.117195554,0.09253244737325622
2023-12-27,0.09337948131542997,0.04034733580523526,0.10717957107948493,0.105016835,0.0929462657473405
2023-12-28,0.09296235816711003,0.03970719579335868,0.10168482478259358,0.099297546,0.09591506611338194
2023-12-29,0.09478358091579041,0.03592347921186459,0.10160707532565248,0.099297546,0.09491177602625937
2024-01-02,0.09764168137315155,0.03685503473801431,0.10328909168656286,0.10772638,0.11209888638991533
2024-01-03,0.10090426136175305,0.041384045191177075,0.106608723924192,0.12386339,0.11409018620464488
2024-01-04,0.10214914935489422,0.044526375023968646,0.109123306967269,0.11824829,0.1159067039611026
2024-01-05,0.10014408315775777,0.044391760536844356,0.10459221930204776,0.10496822,0.11808480083136708
2024-01-08,0.10777204171870912,0.03941776219346815,0.10307773214608648,0.10195023,0.10987886622320026
2024-01-09,0.10807639392429044,0.04244506124887512,0.10564065758728841,0.09823929,0.11123072234390761
2024-01-10,0.10873225170057671,0.04000090343954803,0.10587159095418108,0.099032365,0.1108095848319443
2024-01-11,0.10847090835310962,0.04165613025402368,0.10612394087302178,0.099032365,0.11101247985133235
2024-01-12,0.09844493227746212,0.03832632084953958,0.10578390119036568,0.09823929,0.11133478326379247
2024-01-16,0.09929375533208606,0.03739928102940448,0.10338978471661343,0.10293235,0.12397693475405876
2024-01-17,0.1013820032452911,0.039837852212608355,0.10392001930989171,0.10105051,0.12302568038475645
2024-01-18,0.10424285178819478,0.038773975480098075,0.10956399168755468,0.11605671,0.12191066128504151
2024-01-19,0.110943028145217,0.03632653187745608,0.11890698609913393,0.1152963,0.1189934166519661
2024-01-22,0.09631120184183244,0.03856549133304292,0.10935515059939765,0.10697453,0.12172950284040795
2024-01-23,0.09195188600822315,0.03846129665635803,0.1282699606156201,0.12508342,0.12159799029959259
2024-01-24,0.09191188687711055,0.039544730907794055,0.1289906267639769,0.12734598,0.13942453902253393
2024-01-25,0.09253244737325622,0.03626048648506658,0.12903091430208952,0.1269267,0.13899691869990438
2024-01-26,0.0929462657473405,0.0396783848455058,0.12923257193345106,0.12305162,0.14000026377681013
2024-01-29,0.09591506611338194,0.03708859557421524,0.10352025726072099,0.099836685,0.13818703689086131
2024-01-30,0.09491177602625937,0.04201336672458693,0.10553977583414173,0.1042508,0.13832406642438244
2024-01-31,0.11209888638991533,0.043935395005287155,0.1080447127403733,0.11339557,0.12094903408065863
2024-02-01,0.11409018620464488,0.049825130455772415,0.12184921669095741,0.12457384,0.1173974771366789
2024-02-02,0.1159067039611026,0.05344437169455214,0.12674727515973125,0.1297724,0.11391842425566953
2024-02-05,0.11808480083136708,0.05707321086922756,0.1058369220147349,0.09730936,0.12006031985430665
2024-02-06,0.10987886622320026,0.05390484382991798,0.10727386912174351,0.10184702,0.12064448625326203
2024-02-07,0.11123072234390761,0.056305116891427136,0.10580398320000846,0.09956728,0.12193029654766392
2024-02-08,0.1108095848319443,0.0676238353649254,0.10586280959631615,0.093591325,0.12490092078799571
2024-02-09,0.11101247985133235,0.05400576155866982,0.10586280959631615,0.093591325,0.1239903081570331
2024-02-12,0.11133478326379247,0.06360139233163921,0.10552725167670078,0.090205215,0.1285031823354002
2024-02-13,0.12397693475405876,0.05144713636999139,0.1065350711888743,0.1062317,0.11570545150063984
2024-02-14,0.12302568038475645,0.05625595370593564,0.12944233738956773,0.12661095,0.11361133364539115
2024-02-15,0.12191066128504151,0.05871334055043192,0.12997582986300418,0.12661095,0.11564893090175792
2024-02-16,0.1189934166519661,0.06255305562889055,0.13279318577342056,0.12661095,0.11472578640059397
2024-02-20,0.12172950284040795,0.061832089346560724,0.13967584225237017,0.14739801,0.11247869144346899
2024-02-21,0.12159799029959259,0.06367149023591133,0.13261156665998985,0.11353643,0.11520755580371027
2024-02-22,0.13942453902253393,0.059535956635309945,0.13262221351514553,0.11353643,0.09364448369271351
2024-02-23,0.13899691869990438,0.06520330283587038,0.1199611735414169,0.10985687,0.09441893565861331
2024-02-26,0.14000026377681013,0.05393159778462465,0.1210094104078032,0.11939471,0.09382191912353602
2024-02-27,0.13818703689086131,0.05098681060699515,0.1199611735414169,0.10985687,0.09455350514139237
2024-02-28,0.13832406642438244,0.04924769975918134,0.12270138217214677,0.12520394,0.09719138458237768
2024-02-29,0.12094903408065863,0.04673763805033266,0.0988448398112424,0.091748975,0.09719380225578793
2024-03-01,0.1173974771366789,0.046714807832080645,0.15186231638487274,0.115112245,0.09338296654747114
2024-03-04,0.11391842425566953,0.0443763019908971,0.15261063170605235,0.13894561,0.09682166283779857
2024-03-05,0.12006031985430665,0.04325256638254611,0.1507940014688434,0.11096547,0.0879583302574785
2024-03-06,0.12064448625326203,0.04699325645592438,0.15491785381653816,0.115112245,0.09908666937719067
2024-03-07,0.12193029654766392,0.046789625107120696,0.10944979794391035,0.114507556,0.09974921290199874
2024-03-08,0.12490092078799571,0.051207313291259396,0.10847054846595244,0.10926323,0.09672853446120143
2024-03-11,0.1239903081570331,0.05375512982836353,0.10786104884385779,0.10926323,0.09652457190025408
2024-03-12,0.1285031823354002,0.050645980924702814,0.1081028983005775,0.13016447,0.09680381205994243
2024-03-13,0.11570545150063984,0.0545922342937279,0.11044930548186964,0.13078669,0.10029027926705276
2024-03-14,0.11361133364539115,0.050976467498718314,0.14799150269605288,0.12776285,0.1121847642351459
2024-03-15,0.11564893090175792,0.05062096973762423,0.13419919971433875,0.09944307,0.11834308072162725
2024-03-18,0.11472578640059397,0.052633016338747965,0.12767471420422666,0.0956827,0.11590806726017093
2024-03-19,0.11247869144346899,0.054933295875857255,0.15317478715061963,0.14475708,0.11457666266897093
2024-03-20,0.11520755580371027,0.05866551936969779,0.14539268316855938,0.15707569,0.10737692228396856
2024-03-21,0.09364448369271351,0.06192863738259877,0.14517055289467032,0.13550611,0.10793705758220631
2024-03-22,0.09441893565861331,0.06139391021388615,0.1417297065271429,0.13527931,0.11582863405393883
2024-03-25,0.09382191912353602,0.05764574673170742,0.1417297065271429,0.13728884,0.12582987422593714
2024-03-26,0.09455350514139237,0.054912487894604296,0.14110360969101585,0.14494857,0.1258560856107023
2024-03-27,0.09719138458237768,0.05217913008466347,0.13330211630934963,0.11542094,0.12075654066538091
2024-03-28,0.09719380225578793,0.05544427307171116,0.13312918690481274,0.12788808,0.12723522191100683
2024-04-01,0.09338296654747114,0.04764178578438574,0.1359879646184575,0.12788808,0.1284401577255497
2024-04-02,0.09682166283779857,0.04682281006859372,0.1330106519218526,0.12765637,0.13776771709049518
2024-04-03,0.0879583302574785,0.04696857039861102,0.1321694300138605,0.12788808,0.13748128208527333
2024-04-04,0.09908666937719067,0.04831484465221459,0.13465420875056067,0.12765637,0.1371556838879332
2024-04-05,0.09974921290199874,0.04885137454549722,0.1030198731936521,0.10195023,0.13939112922546257
2024-04-08,0.09672853446120143,0.051121991322710204,0.10308671120270632,0.10195023,0.14471276876840514
2024-04-09,0.09652457190025408,0.04557986289511866,0.10313023382895986,0.10099823,0.1447062247960913
2024-04-10,0.09680381205994243,0.045873397524011254,0.10328611315609042,0.10099823,0.13994637177850797
2024-04-11,0.10029027926705276,0.044991572126019695,0.10353116870860787,0.10006839,0.13887019714762208
2024-04-12,0.1121847642351459,0.05118226368429364,0.10353381059955492,0.10006839,0.12848130783515874
2024-04-15,0.11834308072162725,0.057231253973887404,0.10625811644818989,0.10297264,0.11817205851725886
2024-04-16,0.11590806726017093,0.05790304737784883,0.10973699275471144,0.099965185,0.11789188887090732
2024-04-17,0.11457666266897093,0.05977136945940382,0.10591526312289143,0.10184702,0.11953033442371193
2024-04-18,0.10737692228396856,0.06182878726428908,0.10885022884013087,0.10525455,0.11953010688760012
2024-04-19,0.10793705758220631,0.06857290308062673,0.10857476767878152,0.09790084,0.11161728708205494
2024-04-22,0.11582863405393883,0.06512035752179156,0.10536972938798157,0.08691949,0.10968447010651532
2024-04-23,0.12582987422593714,0.06198591446123917,0.10562634812195616,0.08867735,0.1045815246555241
2024-04-24,0.1258560856107023,0.06302787764031252,0.1112458450319535,0.09860172,0.10582599671021711
2024-04-25,0.12075654066538091,0.06650695226200398,0.12035093199455621,0.11484888,0.10923480008440259
2024-04-26,0.12723522191100683,0.0581034142946468,0.132463838253159,0.13266622,0.10718491815571725
2024-04-29,0.1284401577255497,0.05637356916399719,0.1485583425176613,0.14562577,0.1071334714527486
2024-04-30,0.13776771709049518,0.06417211627833257,0.13449296101425953,0.10139796,0.09081414202769743
2024-05-01,0.13748128208527333,0.06814389129082365,0.11578061590506877,0.09074442,0.0943327607621519
2024-05-02,0.1371556838879332,0.06360021733081613,0.12345156607361936,0.24254,0.09409282415218692
2024-05-03,0.13939112922546257,0.05682805161843656,0.12670826239868366,0.1926926,0.08615175009241519
2024-05-06,0.14471276876840514,0.05140819061694354,0.1158162555661008,0.09074442,0.07980656527751759
